Vehiculo;Posicion;T. Cond;Area Aparcado;Con Reserva;Pref. 1;Pref. 2;Pref. 3;Solic. Reser;Satisfaccion
V365;124;37;A0;SI;A2;A1;A0;3;33
V326;281;60;A5;SI;A5;A4;A3;1;100
V158;211;6;A5;NO;A5;A4;A3;3;0
V321;102;41;A0;SI;A1;A0;;2;66
V282;108;50;A0;SI;A1;A0;;2;66
V129;236;64;A4;SI;A4;A3;A2;1;100
V324;301;39;A6;SI;A6;A5;A4;1;100
V284;280;4;A7;NO;A7;A6;A5;3;0
V32;235;48;A3;SI;A4;A3;A2;2;66
V286;214;57;A3;SI;A3;A2;A1;1;100
V189;192;56;A3;SI;A3;A2;A1;1;100
V354;179;63;A2;SI;A2;A1;A0;1;100
V106;227;49;A3;SI;A4;A3;A2;2;66
V295;123;61;A1;SI;A1;A0;;1;100
V133;168;17;A2;SI;A4;A3;A2;3;33
V87;157;14;A2;SI;A4;A3;A2;3;33
V53;310;60;A5;SI;A5;A4;A3;1;100
V183;246;35;A5;SI;A5;A4;A3;1;100
V39;210;58;A3;SI;A3;A2;A1;1;100
V213;242;58;A4;SI;A4;A3;A2;1;100
V119;263;53;A5;SI;A5;A4;A3;1;100
V142;328;32;A7;SI;A7;A6;A5;1;100
V393;233;61;A4;SI;A4;A3;A2;1;100
V292;296;66;A5;SI;A5;A4;A3;1;100
V229;384;66;A7;SI;A7;A6;A5;1;100
V355;188;19;A2;SI;A4;A3;A2;3;33
V166;110;53;A0;SI;A1;A0;;2;66
V67;137;50;A0;SI;A2;A1;A0;3;33
V164;128;17;A1;SI;A3;A2;A1;3;33
V198;157;34;A1;SI;A3;A2;A1;3;33
V369;304;25;A7;SI;A7;A6;A5;1;100
V186;109;54;A0;SI;A1;A0;;2;66
V74;208;31;A2;SI;A4;A3;A2;3;33
V212;121;6;A3;NO;A3;A2;A1;3;0
V272;378;19;A10;SI;A10;A9;A8;1;100
V337;335;61;A6;SI;A6;A5;A4;1;100
V9;241;48;A3;SI;A4;A3;A2;2;66
V318;269;46;A5;SI;A5;A4;A3;1;100
V317;351;50;A7;SI;A7;A6;A5;1;100
V155;396;15;A10;SI;A10;A9;A8;1;100
V100;141;25;A1;SI;A3;A2;A1;3;33
V37;199;54;A3;SI;A3;A2;A1;1;100
V62;121;38;A2;SI;A2;A1;A0;1;100
V34;182;12;A2;SI;A4;A3;A2;3;33
V81;340;14;A8;SI;A8;A7;A6;1;100
V269;269;12;A4;SI;A6;A5;A4;3;33
V140;106;6;A3;NO;A3;A2;A1;3;0
V347;288;24;A6;SI;A6;A5;A4;1;100
V2;332;7;A8;SI;A8;A7;A6;1;100
V396;242;68;A4;SI;A4;A3;A2;1;100
V23;157;45;A3;SI;A3;A2;A1;1;100
V209;173;41;A1;SI;A3;A2;A1;3;33
V131;119;52;A0;SI;A1;A0;;2;66
V59;131;3;A4;NO;A4;A3;A2;3;0
V176;370;12;A10;SI;A10;A9;A8;1;100
V88;380;15;A10;SI;A10;A9;A8;1;100
V79;269;8;A5;SI;A7;A6;A5;3;33
V371;313;24;A7;SI;A7;A6;A5;1;100
V102;375;64;A7;SI;A7;A6;A5;1;100
V141;291;50;A5;SI;A5;A4;A3;1;100
V187;206;4;A5;NO;A5;A4;A3;3;0
V378;395;7;A10;SI;A10;A9;A8;1;100
V314;119;23;A1;SI;A3;A2;A1;3;33
V301;346;30;A7;SI;A7;A6;A5;1;100
V323;341;64;A6;SI;A6;A5;A4;1;100
V135;288;17;A5;SI;A7;A6;A5;3;33
V361;278;64;A5;SI;A5;A4;A3;1;100
V127;316;59;A6;SI;A6;A5;A4;1;100
V112;113;65;A1;SI;A1;A0;;1;100
V109;203;22;A2;SI;A4;A3;A2;3;33
V99;382;62;A7;SI;A7;A6;A5;1;100
V151;285;55;A5;SI;A5;A4;A3;1;100
V216;126;28;A1;SI;A3;A2;A1;3;33
V143;102;42;A0;SI;A1;A0;;2;66
V42;260;23;A4;SI;A6;A5;A4;3;33
V333;356;46;A7;SI;A7;A6;A5;1;100
V172;241;45;A3;SI;A4;A3;A2;2;66
V328;141;68;A1;SI;A1;A0;;1;100
V338;368;63;A7;SI;A7;A6;A5;1;100
V46;199;4;A5;NO;A5;A4;A3;3;0
V215;307;38;A6;SI;A6;A5;A4;1;100
V265;291;36;A6;SI;A6;A5;A4;1;100
V291;386;40;A8;SI;A8;A7;A6;1;100
V20;286;63;A5;SI;A5;A4;A3;1;100
V218;228;54;A4;SI;A4;A3;A2;1;100
V346;390;23;A10;SI;A10;A9;A8;1;100
V296;399;56;A8;SI;A8;A7;A6;1;100
V247;351;35;A7;SI;A7;A6;A5;1;100
V266;379;16;A10;SI;A10;A9;A8;1;100
V256;307;26;A7;SI;A7;A6;A5;1;100
V299;137;55;A0;SI;A1;A0;;2;66
V344;306;17;A5;SI;A7;A6;A5;3;33
V204;130;35;A0;SI;A2;A1;A0;3;33
V25;296;67;A5;SI;A5;A4;A3;1;100
V193;238;28;A3;SI;A5;A4;A3;3;33
V31;263;19;A4;SI;A6;A5;A4;3;33
V340;165;45;A3;SI;A3;A2;A1;1;100
V294;283;52;A5;SI;A5;A4;A3;1;100
V349;144;13;A3;NO;A3;A2;A1;3;0
V48;151;65;A0;SI;A1;A0;;2;66
V85;267;3;A7;NO;A7;A6;A5;3;0
V289;115;33;A0;SI;A2;A1;A0;3;33
V339;121;33;A0;SI;A2;A1;A0;3;33
V258;351;64;A6;SI;A6;A5;A4;1;100
V27;359;55;A7;SI;A7;A6;A5;1;100
V385;223;33;A4;SI;A4;A3;A2;1;100
V342;279;58;A5;SI;A5;A4;A3;1;100
V219;372;17;A10;SI;A10;A9;A8;1;100
V238;164;65;A2;SI;A2;A1;A0;1;100
V93;170;35;A1;SI;A3;A2;A1;3;33
V364;314;7;A7;NO;A7;A6;A5;3;0
V228;205;57;A3;SI;A3;A2;A1;1;100
V107;121;37;A0;SI;A2;A1;A0;3;33
V51;287;35;A6;SI;A6;A5;A4;1;100
V58;128;34;A0;SI;A2;A1;A0;3;33
V223;210;55;A3;SI;A3;A2;A1;1;100
V159;154;32;A1;SI;A3;A2;A1;3;33
V174;353;42;A7;SI;A7;A6;A5;1;100
V6;264;14;A4;SI;A6;A5;A4;3;33
V235;378;30;A10;SI;A10;A9;A8;1;100
V45;303;28;A7;SI;A7;A6;A5;1;100
V1;336;37;A7;SI;A7;A6;A5;1;100
V234;191;23;A2;SI;A4;A3;A2;3;33
